episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
9200,457989,0.31,0.31,12.23,100.0,0.0038105040761257205
9210,458489,0.31,0.31,11.86,100.0,0.0038037468222136463
9220,458984,0.29,0.29,11.98,100.0,0.003797057140840692
9230,459479,0.32,0.32,11.95,100.0,0.0037903674594677375
9240,459967,0.34,0.34,11.87,100.0,0.0037837723796495535
9250,460448,0.33,0.33,11.77,100.0,0.003777271901386137
9260,460940,0.33,0.33,11.65,100.0,0.003770622763536656
9270,461440,0.33,0.33,11.6,100.0,0.003763865509624581
9280,461930,0.36,0.36,11.26,100.0,0.003757243400790748
9290,462430,0.38,0.38,11.01,100.0,0.003750486146878674
9300,462930,0.45,0.45,11.04,100.0,0.0037437288929665982
9310,463429,0.49,0.49,10.47,100.0,0.0037369851535623486
9320,463913,0.51,0.51,10.47,100.0,0.0037304441317754606
9330,464392,0.47,0.47,10.65,100.0,0.0037239706825276933
9340,464881,0.46,0.46,10.32,100.0,0.003717362088201684
9350,465381,0.46,0.46,10.24,100.0,0.003710604834289609
9360,465881,0.47,0.47,10.32,100.0,0.003703847580377535
9370,466378,0.47,0.47,10.25,100.0,0.003697130869988933
9380,466871,0.43,0.43,10.67,100.0,0.0036904682176316277
9390,467363,0.45,0.45,10.79,100.0,0.003683819079782146
9400,467860,0.42,0.42,10.79,100.0,0.0036771023693935433
9410,468354,0.39,0.39,10.99,100.0,0.0036704262025284134
9420,468854,0.43,0.43,11.68,100.0,0.0036636689486163393
9430,469350,0.45,0.45,11.43,100.0,0.0036569657527355604
9440,469843,0.45,0.45,11.25,100.0,0.003650303100378255
9450,470343,0.46,0.46,11.27,100.0,0.0036435458464661808
9460,470834,0.5,0.5,11.7,100.0,0.003636910223124524
9470,471318,0.55,0.55,11.63,100.0,0.0036303692013376354
9480,471802,0.59,0.59,12.04,100.0,0.0036238281795507475
9490,472296,0.53,0.53,12.1,100.0,0.0036171520126856175
9500,472796,0.54,0.54,11.97,100.0,0.0036103947587735425
9510,473278,0.52,0.52,12.08,100.0,0.0036038807660023035
9520,473770,0.5,0.5,12.43,100.0,0.0035972316281528216
9530,474267,0.48,0.48,12.58,100.0,0.00359051491776422
9540,474748,0.51,0.51,12.74,100.0,0.0035840144395008038
9550,475242,0.51,0.51,13.11,100.0,0.003577338272635674
9560,475742,0.48,0.48,13.24,100.0,0.003570581018723599
9570,476232,0.45,0.45,13.3,100.0,0.003563958909889766
9580,476727,0.44,0.44,13.48,100.0,0.0035572692285168123
9590,477222,0.47,0.47,13.82,100.0,0.0035505795471438588
9600,477722,0.45,0.45,13.83,100.0,0.0035438222932317838
9610,478222,0.47,0.47,13.78,100.0,0.0035370650393197088
9620,478709,0.45,0.45,14.31,100.0,0.0035304834740093483
9630,479204,0.5,0.5,13.84,100.0,0.0035237937926363948
9640,479696,0.48,0.48,13.8,100.0,0.003517144654786913
9650,480191,0.47,0.47,13.53,100.0,0.0035104549734139593
9660,480691,0.48,0.48,13.06,100.0,0.0035036977195018843
9670,481186,0.49,0.49,12.73,100.0,0.0034970080381289317
9680,481686,0.47,0.47,12.88,100.0,0.003490250784216856
9690,482184,0.45,0.45,12.93,100.0,0.0034835205593204297
9700,482669,0.43,0.43,12.76,100.0,0.0034769660230257174
9710,483169,0.4,0.4,12.92,100.0,0.0034702087691136432
9720,483652,0.42,0.42,12.99,100.0,0.003463681261834579
9730,484151,0.39,0.39,12.89,100.0,0.0034569375224303292
9740,484643,0.39,0.39,12.89,100.0,0.0034502883845808473
9750,485118,0.38,0.38,12.47,100.0,0.003443868993364376
9760,485604,0.34,0.34,12.31,100.0,0.00343730094256184
9770,486101,0.29,0.29,12.31,100.0,0.0034305842321732376
9780,486589,0.31,0.31,12.37,100.0,0.0034239891523550527
9790,487073,0.32,0.32,12.28,100.0,0.003417448130568164
9800,487553,0.33,0.33,12.53,100.0,0.003410961166812572
9810,488032,0.34,0.34,12.16,100.0,0.0034044877175648056
9820,488523,0.31,0.31,11.84,100.0,0.0033978520942231473
9830,489023,0.31,0.31,11.85,100.0,0.003391094840311073
9840,489522,0.33,0.33,11.43,100.0,0.0033843511009068227
9850,490017,0.31,0.31,11.44,100.0,0.003377661419533869
9860,490517,0.32,0.32,11.49,100.0,0.003370904165621795
9870,491007,0.38,0.38,11.72,100.0,0.003364282056787962
9880,491502,0.38,0.38,11.6,100.0,0.0033575923754150076
9890,491997,0.37,0.37,11.77,100.0,0.003350902694042053
9900,492494,0.39,0.39,12.01,100.0,0.0033441859836534516
9910,492983,0.38,0.38,12.2,100.0,0.0033375773893274422
9920,493467,0.39,0.39,11.76,100.0,0.0033310363675405543
9930,493952,0.38,0.38,11.78,100.0,0.003324481831245842
9940,494430,0.37,0.37,11.66,100.0,0.003318021896505899
9950,494930,0.37,0.37,11.79,100.0,0.003311264642593823
9960,495430,0.37,0.37,11.67,100.0,0.003304507388681749
9970,495920,0.38,0.38,11.55,100.0,0.003297885279847916
9980,496420,0.36,0.36,11.44,100.0,0.003291128025935842
9990,496917,0.36,0.36,11.24,100.0,0.0032844113155472395
10000,497417,0.33,0.33,11.14,100.0,0.0032776540616351645
10010,497914,0.34,0.34,10.99,100.0,0.003270937351246562
10020,498402,0.36,0.36,10.85,100.0,0.003264342271428378
10030,498891,0.37,0.37,10.9,100.0,0.0032577336771023686
10040,499381,0.36,0.36,10.9,100.0,0.0032511115682685356
10050,499860,0.4,0.4,11.3,100.0,0.0032446381190207683
10060,500360,0.41,0.41,11.29,100.0,0.0032378808651086933
10070,500850,0.39,0.39,11.35,100.0,0.0032312587562748603
10080,501350,0.37,0.37,11.12,100.0,0.0032245015023627853
10090,501850,0.38,0.38,11.08,100.0,0.003217744248450711
10100,502345,0.42,0.42,11.18,100.0,0.003211054567077757
10110,502840,0.43,0.43,11.24,100.0,0.003204364885704804
10120,503329,0.4,0.4,11.13,100.0,0.0031977562913787947
10130,503817,0.41,0.41,11.0,100.0,0.00319116121156061
10140,504313,0.38,0.38,10.98,100.0,0.003184458015679832
10150,504804,0.34,0.34,11.32,100.0,0.0031778223923381744
10160,505303,0.33,0.33,11.37,100.0,0.003171078652933924
10170,505782,0.32,0.32,11.14,100.0,0.0031646052036861565
10180,506281,0.35,0.35,11.34,100.0,0.003157861464281906
10190,506758,0.39,0.39,11.04,100.0,0.0031514150440497867
10200,507223,0.37,0.37,11.21,100.0,0.0031451307979115575
10210,507717,0.37,0.37,11.21,100.0,0.0031384546310464275
10220,508191,0.39,0.39,11.21,100.0,0.0031320487543377807
10230,508691,0.4,0.4,11.52,100.0,0.0031252915004257066
10240,509191,0.44,0.44,11.53,100.0,0.0031185342465136325
10250,509691,0.5,0.5,11.94,100.0,0.0031117769926015566
10260,510191,0.51,0.51,11.85,100.0,0.0031050197386894825
10270,510686,0.51,0.51,11.95,100.0,0.003098330057316528
10280,511186,0.53,0.53,11.86,100.0,0.003091572803404454
10290,511685,0.52,0.52,12.16,100.0,0.0030848290640002034
10300,512185,0.5,0.5,12.18,100.0,0.0030780718100881285
10310,512682,0.5,0.5,11.94,100.0,0.003071355099699527
10320,513182,0.49,0.49,11.78,100.0,0.0030645978457874527
10330,513682,0.51,0.51,11.5,100.0,0.003057840591875377
10340,514173,0.48,0.48,11.57,100.0,0.0030512049685337203
10350,514660,0.42,0.42,11.53,100.0,0.00304462340322336
10360,515135,0.41,0.41,11.42,100.0,0.0030382040120068886
10370,515635,0.41,0.41,11.36,100.0,0.0030314467580948145
10380,516126,0.39,0.39,11.25,100.0,0.003024811134753157
10390,516617,0.36,0.36,11.06,100.0,0.0030181755114114996
10400,517117,0.36,0.36,11.03,100.0,0.0030114182574994255
10410,517617,0.35,0.35,10.59,100.0,0.0030046610035873497
10420,518107,0.34,0.34,10.43,100.0,0.0029980388947535167
10430,518589,0.28,0.28,10.73,100.0,0.0029915249019822777
10440,519085,0.3,0.3,10.93,100.0,0.0029848217061014997
10450,519569,0.31,0.31,10.91,100.0,0.002978280684314611
10460,520048,0.31,0.31,10.47,100.0,0.0029718072350668444
10470,520543,0.29,0.29,9.92,100.0,0.00296511755369389
10480,521024,0.32,0.32,10.46,100.0,0.0029586170754304746
10490,521522,0.31,0.31,10.42,100.0,0.0029518868505340476
10500,522009,0.31,0.31,10.44,100.0,0.002945305285223687
10510,522508,0.32,0.32,10.8,100.0,0.0029385615458194366
10520,522999,0.34,0.34,10.63,100.0,0.002931925922477779
10530,523483,0.35,0.35,10.46,100.0,0.0029253849006908913
10540,523968,0.36,0.36,10.3,100.0,0.002918830364396178
